qa_json_path,qa_json_abs_path,item_index,image_id,image_type,source_dataset,hf_dataset_id,item_id,target,prompt,expected_evidence,expected_answer_or_behavior,source_index,hf_id,image_path,variant_image_paths,target_model_response,human_label,judge_label,failure_reason,notes
dataset/screenshots/qa/screenshots_0001.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/screenshots/qa/screenshots_0001.json,0,screenshots_0001,screenshots,ScreenQA,rootsautomation/RICO-ScreenQA,screenshots_0001_001,visual_factuality,Which number is selected for TD recommendation?,Visible UI text and layout elements that answer the source ScreenQA question. Source question: Which number is selected for TD recommendation?,"[{""full_answer"": ""<no answer>"", ""ui_elements"": []}]",1,51221,dataset/screenshots/images/screenshots_0001.jpg,[],The number selected for TD recommendation is 10.,,,,Answer must be directly supported by visible image evidence.
dataset/charts/qa/charts_0014.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/charts/qa/charts_0014.json,0,charts_0014,charts,ChartQA,HuggingFaceM4/ChartQA,charts_0014_001,visual_factuality,How many students were registered at Stockholm University in 2019?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How many students were registered at Stockholm University in 2019?","[""34171""]",14,HuggingFaceM4/ChartQA:train:14,dataset/charts/images/charts_0014.jpg,[],"34,171 students were registered at Stockholm University in 2019.",,,,Answer must be directly supported by visible image evidence.
dataset/charts/qa/charts_0003.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/charts/qa/charts_0003.json,0,charts_0003,charts,ChartQA,HuggingFaceM4/ChartQA,charts_0003_001,visual_factuality,What percentage of all oil consumed in the OECD is petrochemical?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: What percentage of all oil consumed in the OECD is petrochemical?","[""13.63""]",3,HuggingFaceM4/ChartQA:train:3,dataset/charts/images/charts_0003.jpg,[],13.63% of all oil consumed in the OECD is used for petrochemicals.,,,,Answer must be directly supported by visible image evidence.
dataset/screenshots/qa/screenshots_0014.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/screenshots/qa/screenshots_0014.json,0,screenshots_0014,screenshots,ScreenQA,rootsautomation/RICO-ScreenQA,screenshots_0014_001,visual_factuality,"What's the status of the ""Auto-Sleep""?","Visible UI text and layout elements that answer the source ScreenQA question. Source question: What's the status of the ""Auto-Sleep""?","[{""full_answer"": ""The status is \""on\""."", ""ui_elements"": [{""bounds"": [870.0, 1362.0, 1053.0, 1463.0], ""text"": ""on"", ""vh_index"": 55}]}]",15,51226,dataset/screenshots/images/screenshots_0014.jpg,[],"The ""Auto-Sleep"" option is enabled, as indicated by the checked box next to it.",,,,Answer must be directly supported by visible image evidence.
dataset/documents/qa/documents_0015.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/documents/qa/documents_0015.json,0,documents_0015,documents,DocVQA,VLR-CVC/DocVQA-2026,documents_0015_001,visual_factuality,By which kind of road are Colchester and Yantic connected?,"Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: By which kind of road are Colchester and Yantic connected?",Macadam & Gravel,15,maps_2,dataset/documents/images/documents_0015.jpg,[],"Colchester and Yantic are connected by a road marked as ""B-3,"" which corresponds to the Mohawk Trail according to the map's legend.",,,,Answer must be directly supported by visible image evidence.
dataset/documents/qa/documents_0011.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/documents/qa/documents_0011.json,1,documents_0011,documents,DocVQA,VLR-CVC/DocVQA-2026,documents_0011_002,robustness,"How many times do people get in the head in Nyoka and the Witch Doctor's Madness? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: How many times do people get in the head in Nyoka and the Witch Doctor's Madness?",Return the same answer as the visual factuality item when evidence is preserved: 4. State uncertainty only when the required evidence is not readable.,11,comics_1,dataset/documents/images/documents_0011.jpg,"[""dataset/documents/robust/documents_0011_compression.jpg""]","The image does not provide any specific information about how many times people get hit in the head in ""Nyoka and the Witch Doctor's Madness."" The text and visuals focus on Nyoka facing a ""FLAMING DEATH"" at the hands of ""THE MAD WITCH DOCTOR,"" but there is no mention or depiction of anyone being hit in the head. Therefore, the answer cannot be determined from the image.",,,,Robustness variant: compression.
dataset/documents/qa/documents_0008.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/documents/qa/documents_0008.json,1,documents_0008,documents,DocVQA,VLR-CVC/DocVQA-2026,documents_0008_002,robustness,"Im at stand number 30, if I keep going north in the main avenue, what is the last stand that I will encounter? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: Im at stand number 30, if I keep going north in the main avenue, what is the last stand that I will encounter?",Return the same answer as the visual factuality item when evidence is preserved: 16. State uncertainty only when the required evidence is not readable.,8,maps_3,dataset/documents/images/documents_0008.jpg,"[""dataset/documents/robust/documents_0008_low_contrast.jpg""]",The last stand you will encounter if you keep going north in the main avenue is stand number 6.,,,,Robustness variant: low_contrast.
dataset/charts/qa/charts_0017.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/charts/qa/charts_0017.json,1,charts_0017,charts,ChartQA,HuggingFaceM4/ChartQA,charts_0017_002,robustness,"How many tourists arrived in Bulgaria in 2018? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How many tourists arrived in Bulgaria in 2018?","Return the same answer as the visual factuality item when evidence is preserved: [""7.8""]. State uncertainty only when the required evidence is not readable.",17,HuggingFaceM4/ChartQA:train:17,dataset/charts/images/charts_0017.jpg,"[""dataset/charts/robust/charts_0017_crop.jpg""]",7.8 million tourists arrived in Bulgaria in 2018.,,,,Robustness variant: crop.
dataset/screenshots/qa/screenshots_0014.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/screenshots/qa/screenshots_0014.json,1,screenshots_0014,screenshots,ScreenQA,rootsautomation/RICO-ScreenQA,screenshots_0014_002,robustness,"What's the status of the ""Auto-Sleep""? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible UI text and layout elements that answer the source ScreenQA question. Source question: What's the status of the ""Auto-Sleep""?","Return the same answer as the visual factuality item when evidence is preserved: [{""full_answer"": ""The status is \""on\""."", ""ui_elements"": [{""bounds"": [870.0, 1362.0, 1053.0, 1463.0], ""text"": ""on"", ""vh_index"": 55}]}]. State uncertainty only when the required evidence is not readable.",15,51226,dataset/screenshots/images/screenshots_0014.jpg,"[""dataset/screenshots/robust/screenshots_0014_rotate_15.jpg""]","The ""Auto-Sleep"" option is enabled, as indicated by the checked box next to it.",,,,Robustness variant: rotate_15.
dataset/charts/qa/charts_0013.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/charts/qa/charts_0013.json,1,charts_0013,charts,ChartQA,HuggingFaceM4/ChartQA,charts_0013_002,robustness,"How much revenue did Cardinal Health generate in the U.S. in FY 2020? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How much revenue did Cardinal Health generate in the U.S. in FY 2020?","Return the same answer as the visual factuality item when evidence is preserved: [""148.71""]. State uncertainty only when the required evidence is not readable.",13,HuggingFaceM4/ChartQA:train:13,dataset/charts/images/charts_0013.jpg,"[""dataset/charts/robust/charts_0013_low_contrast.jpg""]",Cardinal Health generated $148.71 billion in revenue in the U.S. in FY 2020.,,,,Robustness variant: low_contrast.
