qa_json_path,qa_json_abs_path,item_index,image_id,image_type,source_dataset,hf_dataset_id,item_id,target,prompt,expected_evidence,expected_answer_or_behavior,source_index,hf_id,image_path,model_input_image_path,variant_image_paths,target_model_response,human_label,judge_label,failure_reason,notes,judge_failure_reason,run_name,target_model,checker_model
dataset/screenshots/qa/screenshots_0001.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/screenshots/qa/screenshots_0001.json,0,screenshots_0001,screenshots,ScreenQA,rootsautomation/RICO-ScreenQA,screenshots_0001_001,visual_factuality,Which number is selected for TD recommendation?,Visible UI text and layout elements that answer the source ScreenQA question. Source question: Which number is selected for TD recommendation?,"[{""full_answer"": ""<no answer>"", ""ui_elements"": []}]",1,51221,dataset/screenshots/images/screenshots_0001.jpg,dataset/screenshots/images/screenshots_0001.jpg,[],The number selected for TD recommendation is 10.,1,1,,Answer must be directly supported by visible image evidence.,incorrect value,2026-06-09_0123_Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-7B-Instruct
dataset/charts/qa/charts_0014.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/charts/qa/charts_0014.json,0,charts_0014,charts,ChartQA,HuggingFaceM4/ChartQA,charts_0014_001,visual_factuality,How many students were registered at Stockholm University in 2019?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How many students were registered at Stockholm University in 2019?","[""34171""]",14,HuggingFaceM4/ChartQA:train:14,dataset/charts/images/charts_0014.jpg,dataset/charts/images/charts_0014.jpg,[],"34,171 students were registered at Stockholm University in 2019.",1,1,,Answer must be directly supported by visible image evidence.,The response provides a specific number without supporting evidence from the chart.,2026-06-09_0123_Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-7B-Instruct
dataset/charts/qa/charts_0003.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/charts/qa/charts_0003.json,0,charts_0003,charts,ChartQA,HuggingFaceM4/ChartQA,charts_0003_001,visual_factuality,What percentage of all oil consumed in the OECD is petrochemical?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: What percentage of all oil consumed in the OECD is petrochemical?","[""13.63""]",3,HuggingFaceM4/ChartQA:train:3,dataset/charts/images/charts_0003.jpg,dataset/charts/images/charts_0003.jpg,[],13.63% of all oil consumed in the OECD is used for petrochemicals.,1,1,,Answer must be directly supported by visible image evidence.,response provides a different value than expected,2026-06-09_0123_Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-7B-Instruct
dataset/screenshots/qa/screenshots_0014.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/screenshots/qa/screenshots_0014.json,0,screenshots_0014,screenshots,ScreenQA,rootsautomation/RICO-ScreenQA,screenshots_0014_001,visual_factuality,"What's the status of the ""Auto-Sleep""?","Visible UI text and layout elements that answer the source ScreenQA question. Source question: What's the status of the ""Auto-Sleep""?","[{""full_answer"": ""The status is \""on\""."", ""ui_elements"": [{""bounds"": [870.0, 1362.0, 1053.0, 1463.0], ""text"": ""on"", ""vh_index"": 55}]}]",15,51226,dataset/screenshots/images/screenshots_0014.jpg,dataset/screenshots/images/screenshots_0014.jpg,[],"The ""Auto-Sleep"" option is enabled, as indicated by the checked box next to it.",1,1,,Answer must be directly supported by visible image evidence.,"Incorrect status value, expected 'on' but got 'enabled'",2026-06-09_0123_Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-7B-Instruct
dataset/documents/qa/documents_0015.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/documents/qa/documents_0015.json,0,documents_0015,documents,DocVQA,VLR-CVC/DocVQA-2026,documents_0015_001,visual_factuality,By which kind of road are Colchester and Yantic connected?,"Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: By which kind of road are Colchester and Yantic connected?",Macadam & Gravel,15,maps_2,dataset/documents/images/documents_0015.jpg,dataset/documents/images/documents_0015.jpg,[],"Colchester and Yantic are connected by a road marked as ""B-3,"" which corresponds to the Mohawk Trail according to the map's legend.",1,1,,Answer must be directly supported by visible image evidence.,Incorrect road type,2026-06-09_0123_Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-7B-Instruct
dataset/documents/qa/documents_0011.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/documents/qa/documents_0011.json,0,documents_0011,documents,DocVQA,VLR-CVC/DocVQA-2026,documents_0011_001,visual_factuality,How many times do people get in the head in Nyoka and the Witch Doctor's Madness?,"Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: How many times do people get in the head in Nyoka and the Witch Doctor's Madness?",4,11,comics_1,dataset/documents/images/documents_0011.jpg,dataset/documents/images/documents_0011.jpg,[],"The image does not provide specific details about how many times people get hit in the head in ""Nyoka and the Witch Doctor's Madness."" The comic book cover shows a dramatic scene but does not include explicit action sequences or counts of such events.",1,1,,Answer must be directly supported by visible image evidence.,gives a different value (4 vs. not providing a number),2026-06-09_0123_Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-7B-Instruct
dataset/documents/qa/documents_0008.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/documents/qa/documents_0008.json,0,documents_0008,documents,DocVQA,VLR-CVC/DocVQA-2026,documents_0008_001,visual_factuality,"Im at stand number 30, if I keep going north in the main avenue, what is the last stand that I will encounter?","Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: Im at stand number 30, if I keep going north in the main avenue, what is the last stand that I will encounter?",16,8,maps_3,dataset/documents/images/documents_0008.jpg,dataset/documents/images/documents_0008.jpg,[],The last stand you will encounter if you keep going north in the main avenue is stand number 1.,1,1,,Answer must be directly supported by visible image evidence.,incorrect answer value,2026-06-09_0123_Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-7B-Instruct
dataset/charts/qa/charts_0017.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/charts/qa/charts_0017.json,0,charts_0017,charts,ChartQA,HuggingFaceM4/ChartQA,charts_0017_001,visual_factuality,How many tourists arrived in Bulgaria in 2018?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How many tourists arrived in Bulgaria in 2018?","[""7.8""]",17,HuggingFaceM4/ChartQA:train:17,dataset/charts/images/charts_0017.jpg,dataset/charts/images/charts_0017.jpg,[],7.8 million tourists arrived in Bulgaria in 2018.,0,0,,Answer must be directly supported by visible image evidence.,,2026-06-09_0123_Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-7B-Instruct
dataset/charts/qa/charts_0013.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/charts/qa/charts_0013.json,0,charts_0013,charts,ChartQA,HuggingFaceM4/ChartQA,charts_0013_001,visual_factuality,How much revenue did Cardinal Health generate in the U.S. in FY 2020?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How much revenue did Cardinal Health generate in the U.S. in FY 2020?","[""148.71""]",13,HuggingFaceM4/ChartQA:train:13,dataset/charts/images/charts_0013.jpg,dataset/charts/images/charts_0013.jpg,[],Cardinal Health generated $148.71 billion in revenue in the U.S. in FY 2020.,1,1,,Answer must be directly supported by visible image evidence.,The response provides a different value ($148.71 billion instead of 148.71).,2026-06-09_0123_Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-7B-Instruct
dataset/screenshots/qa/screenshots_0006.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/screenshots/qa/screenshots_0006.json,0,screenshots_0006,screenshots,ScreenQA,rootsautomation/RICO-ScreenQA,screenshots_0006_001,visual_factuality,What is the post-date of the article?,Visible UI text and layout elements that answer the source ScreenQA question. Source question: What is the post-date of the article?,"[{""full_answer"": ""The post-date of the article is September 1, 2016."", ""ui_elements"": [{""bounds"": [226.0, 605.0, 401.0, 644.0], ""text"": ""Sep 1, 2016"", ""vh_index"": -1}]}]",7,51120,dataset/screenshots/images/screenshots_0006.jpg,dataset/screenshots/images/screenshots_0006.jpg,[],"The post-date of the article is September 1, 2016.",0,0,,Answer must be directly supported by visible image evidence.,,2026-06-09_0123_Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-7B-Instruct
dataset/screenshots/qa/screenshots_0014.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/screenshots/qa/screenshots_0014.json,1,screenshots_0014,screenshots,ScreenQA,rootsautomation/RICO-ScreenQA,screenshots_0014_002,robustness,"What's the status of the ""Auto-Sleep""? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible UI text and layout elements that answer the source ScreenQA question. Source question: What's the status of the ""Auto-Sleep""?","[{""full_answer"": ""The status is \""on\""."", ""ui_elements"": [{""bounds"": [870.0, 1362.0, 1053.0, 1463.0], ""text"": ""on"", ""vh_index"": 55}]}]",15,51226,dataset/screenshots/images/screenshots_0014.jpg,dataset/screenshots/robust/screenshots_0014_rotate_15.jpg,"[""dataset/screenshots/robust/screenshots_0014_rotate_15.jpg""]","The ""Auto-Sleep"" option is enabled, as indicated by the checked box next to it.",1,1,,Robustness variant: rotate_15.,inconsistent answer when evidence is preserved,2026-06-09_0123_Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-7B-Instruct
dataset/receipts/qa/receipts_0009.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/receipts/qa/receipts_0009.json,1,receipts_0009,receipts,CORD,naver-clova-ix/cord-v2,receipts_0009_002,robustness,"What is the cash price shown on this receipt? If the image quality is degraded but the required receipt evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.",Visible receipt text and the CORD total.cashprice field. Source question: What is the cash price shown on this receipt?,"20,000",9,naver-clova-ix/cord-v2:train:9,dataset/receipts/images/receipts_0009.jpg,dataset/receipts/robust/receipts_0009_rotate_15.jpg,"[""dataset/receipts/robust/receipts_0009_rotate_15.jpg""]","The cash price shown on this receipt is $20,000. The amount is clearly visible in the image.",1,1,,Robustness variant: rotate_15.,inconsistent answer on rotated variant,2026-06-09_0123_Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-7B-Instruct
dataset/charts/qa/charts_0011.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/charts/qa/charts_0011.json,1,charts_0011,charts,ChartQA,HuggingFaceM4/ChartQA,charts_0011_002,robustness,"How many natural mineral water sources did Germany have in 2016? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How many natural mineral water sources did Germany have in 2016?","[""821""]",11,HuggingFaceM4/ChartQA:train:11,dataset/charts/images/charts_0011.jpg,dataset/charts/robust/charts_0011_compression.jpg,"[""dataset/charts/robust/charts_0011_compression.jpg""]",Germany had 821 natural mineral water sources in 2016.,0,0,,Robustness variant: compression.,,2026-06-09_0123_Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-7B-Instruct
dataset/receipts/qa/receipts_0015.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/receipts/qa/receipts_0015.json,1,receipts_0015,receipts,CORD,naver-clova-ix/cord-v2,receipts_0015_002,robustness,"What is the total price shown on this receipt? If the image quality is degraded but the required receipt evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.",Visible receipt text and the CORD total.total_price field. Source question: What is the total price shown on this receipt?,"282,000",15,naver-clova-ix/cord-v2:train:15,dataset/receipts/images/receipts_0015.jpg,dataset/receipts/robust/receipts_0015_blur.jpg,"[""dataset/receipts/robust/receipts_0015_blur.jpg""]","The total price shown on the receipt is 282,000.",0,0,,Robustness variant: blur.,,2026-06-09_0123_Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-7B-Instruct
dataset/forms/qa/forms_0014.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/forms/qa/forms_0014.json,1,forms_0014,forms,FUNSD,nielsr/funsd,forms_0014_002,robustness,"What visible field names and field values can be read from this form? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","{""words"": [""DIVISION:"", ""80%"", ""5%"", ""5%"", ""10%"", ""100%"", ""0"", ""0%"", ""8"", ""3%"", ""162"", ""53%"", ""76"", ""25%"", ""100%"", ""19%"", ""57"", ""303"", ""Liquor"", ""ANNUALS"", ""TOTAL"", ""%"", ""92081358"", ""URBAN"", ""CENTER"", ""INITIATIVE"", ""ASSIGNMENT"", ""PROFILE"", ""11/30/93"", ""17:07"", ""708"", ""369"", ""1422"", ""LORILLARD"", ""CHI"", ""002/003"", ""Chicago"", ""South"", ""LIST"", ""THE"", ""INFORMATION"", ""BELOW"", ""AS"", ""IT"", ""PERTAINS"", ""TO"", ""THE"", ""URBAN"", ""CENTER"", ""PORTION"", ""OF"", ""YOUR"", ""ASSIGNMENT"", ""ONLY:"", ""POPULATION"", ""COMPO...",14,133,dataset/forms/images/forms_0014.jpg,dataset/forms/robust/forms_0014_rotate_15.jpg,"[""dataset/forms/robust/forms_0014_rotate_15.jpg""]","Here are the visible field names and their corresponding values from the form:

1. **DIVISION:** Chicago South  
2. **POPULATION COMPOSITION:**
   - % BLACK = 80%  
   - % HISPANIC = 5%  
   - % WHITE = 10%  
   - % OTHER = 5%  
   - % TOTAL = 100%  
3. **# OF RETAIL CALLS:**
   - Classified: 247  
   - Annual: 37  
4. **APPROXIMATE % OF RETAIL CALLS SECURED BY CLASS:** 65% (136 calls)  
5. **RETAIL CALL FREQUENCY:**
   - 50/YR:",1,1,,Robustness variant: rotate_15.,Inconsistent answer on the original but incorrect answer on the evidence-preserving variant (rotate_15),2026-06-09_0123_Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-7B-Instruct
dataset/charts/qa/charts_0004.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/charts/qa/charts_0004.json,1,charts_0004,charts,ChartQA,HuggingFaceM4/ChartQA,charts_0004_002,robustness,"How many constant U.S. dollars did arms export from Sweden to Pakistan and the United Arab Emirates in 2020? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How many constant U.S. dollars did arms export from Sweden to Pakistan and the United Arab Emirates in 2020?","[""80""]",4,HuggingFaceM4/ChartQA:train:4,dataset/charts/images/charts_0004.jpg,dataset/charts/robust/charts_0004_rotate_15.jpg,"[""dataset/charts/robust/charts_0004_rotate_15.jpg""]","The arms export value from Sweden to Pakistan was 63 million constant (1990) U.S. dollars, and to the United Arab Emirates was 80 million constant (1990) U.S. dollars.",1,1,,Robustness variant: rotate_15.,inconsistent answer on rotated image,2026-06-09_0123_Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-7B-Instruct
dataset/charts/qa/charts_0003.json,/home/uceeht3/project/MsC-Project-VLM-Certification/dataset/charts/qa/charts_0003.json,1,charts_0003,charts,ChartQA,HuggingFaceM4/ChartQA,charts_0003_002,robustness,"What percentage of all oil consumed in the OECD is petrochemical? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: What percentage of all oil consumed in the OECD is petrochemical?","[""13.63""]",3,HuggingFaceM4/ChartQA:train:3,dataset/charts/images/charts_0003.jpg,dataset/charts/robust/charts_0003_low_contrast.jpg,"[""dataset/charts/robust/charts_0003_low_contrast.jpg""]",13.63% of all oil consumed in the OECD is used for petrochemicals.,1,1,,Robustness variant: low_contrast.,inconsistent answer when evidence is preserved,2026-06-09_0123_Qwen2.5-VL-32B-Instruct,Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-7B-Instruct
