human_label,human_failure_reason,target,model_input_image_path,prompt,expected_evidence,expected_answer_or_behavior,target_model_response,notes,record_key
1,,visual_factuality,dataset/screenshots/images/screenshots_0001.jpg,Which number is selected for TD recommendation?,Visible UI text and layout elements that answer the source ScreenQA question. Source question: Which number is selected for TD recommendation?,"[{""full_answer"": ""<no answer>"", ""ui_elements"": []}]",The number selected for TD recommendation is 10.,Answer must be directly supported by visible image evidence.,dataset/screenshots/qa/screenshots_0001.json::0::screenshots_0001_001
1,,visual_factuality,dataset/charts/images/charts_0014.jpg,How many students were registered at Stockholm University in 2019?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How many students were registered at Stockholm University in 2019?","[""34171""]","34,171 students were registered at Stockholm University in 2019.",Answer must be directly supported by visible image evidence.,dataset/charts/qa/charts_0014.json::0::charts_0014_001
1,,visual_factuality,dataset/charts/images/charts_0003.jpg,What percentage of all oil consumed in the OECD is petrochemical?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: What percentage of all oil consumed in the OECD is petrochemical?","[""13.63""]",13.63% of all oil consumed in the OECD is used for petrochemicals.,Answer must be directly supported by visible image evidence.,dataset/charts/qa/charts_0003.json::0::charts_0003_001
1,,visual_factuality,dataset/screenshots/images/screenshots_0014.jpg,"What's the status of the ""Auto-Sleep""?","Visible UI text and layout elements that answer the source ScreenQA question. Source question: What's the status of the ""Auto-Sleep""?","[{""full_answer"": ""The status is \""on\""."", ""ui_elements"": [{""bounds"": [870.0, 1362.0, 1053.0, 1463.0], ""text"": ""on"", ""vh_index"": 55}]}]","The ""Auto-Sleep"" option is enabled, as indicated by the checked box next to it.",Answer must be directly supported by visible image evidence.,dataset/screenshots/qa/screenshots_0014.json::0::screenshots_0014_001
1,,visual_factuality,dataset/documents/images/documents_0015.jpg,By which kind of road are Colchester and Yantic connected?,"Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: By which kind of road are Colchester and Yantic connected?",Macadam & Gravel,"Colchester and Yantic are connected by a road marked as ""B-3,"" which corresponds to the Mohawk Trail according to the map's legend.",Answer must be directly supported by visible image evidence.,dataset/documents/qa/documents_0015.json::0::documents_0015_001
1,,visual_factuality,dataset/documents/images/documents_0011.jpg,How many times do people get in the head in Nyoka and the Witch Doctor's Madness?,"Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: How many times do people get in the head in Nyoka and the Witch Doctor's Madness?",4,"The image does not provide specific details about how many times people get hit in the head in ""Nyoka and the Witch Doctor's Madness."" The comic book cover shows a dramatic scene but does not include explicit action sequences or counts of such events.",Answer must be directly supported by visible image evidence.,dataset/documents/qa/documents_0011.json::0::documents_0011_001
1,,visual_factuality,dataset/documents/images/documents_0008.jpg,"Im at stand number 30, if I keep going north in the main avenue, what is the last stand that I will encounter?","Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: Im at stand number 30, if I keep going north in the main avenue, what is the last stand that I will encounter?",16,The last stand you will encounter if you keep going north in the main avenue is stand number 1.,Answer must be directly supported by visible image evidence.,dataset/documents/qa/documents_0008.json::0::documents_0008_001
0,,visual_factuality,dataset/charts/images/charts_0017.jpg,How many tourists arrived in Bulgaria in 2018?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How many tourists arrived in Bulgaria in 2018?","[""7.8""]",7.8 million tourists arrived in Bulgaria in 2018.,Answer must be directly supported by visible image evidence.,dataset/charts/qa/charts_0017.json::0::charts_0017_001
1,,visual_factuality,dataset/charts/images/charts_0013.jpg,How much revenue did Cardinal Health generate in the U.S. in FY 2020?,"Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How much revenue did Cardinal Health generate in the U.S. in FY 2020?","[""148.71""]",Cardinal Health generated $148.71 billion in revenue in the U.S. in FY 2020.,Answer must be directly supported by visible image evidence.,dataset/charts/qa/charts_0013.json::0::charts_0013_001
0,,visual_factuality,dataset/screenshots/images/screenshots_0006.jpg,What is the post-date of the article?,Visible UI text and layout elements that answer the source ScreenQA question. Source question: What is the post-date of the article?,"[{""full_answer"": ""The post-date of the article is September 1, 2016."", ""ui_elements"": [{""bounds"": [226.0, 605.0, 401.0, 644.0], ""text"": ""Sep 1, 2016"", ""vh_index"": -1}]}]","The post-date of the article is September 1, 2016.",Answer must be directly supported by visible image evidence.,dataset/screenshots/qa/screenshots_0006.json::0::screenshots_0006_001
1,,robustness,dataset/screenshots/robust/screenshots_0014_rotate_15.jpg,"What's the status of the ""Auto-Sleep""? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible UI text and layout elements that answer the source ScreenQA question. Source question: What's the status of the ""Auto-Sleep""?","[{""full_answer"": ""The status is \""on\""."", ""ui_elements"": [{""bounds"": [870.0, 1362.0, 1053.0, 1463.0], ""text"": ""on"", ""vh_index"": 55}]}]","The ""Auto-Sleep"" option is enabled, as indicated by the checked box next to it.",Robustness variant: rotate_15.,dataset/screenshots/qa/screenshots_0014.json::1::screenshots_0014_002
1,,robustness,dataset/receipts/robust/receipts_0009_rotate_15.jpg,"What is the cash price shown on this receipt? If the image quality is degraded but the required receipt evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.",Visible receipt text and the CORD total.cashprice field. Source question: What is the cash price shown on this receipt?,"20,000","The cash price shown on this receipt is $20,000. The amount is clearly visible in the image.",Robustness variant: rotate_15.,dataset/receipts/qa/receipts_0009.json::1::receipts_0009_002
0,,robustness,dataset/charts/robust/charts_0011_compression.jpg,"How many natural mineral water sources did Germany have in 2016? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How many natural mineral water sources did Germany have in 2016?","[""821""]",Germany had 821 natural mineral water sources in 2016.,Robustness variant: compression.,dataset/charts/qa/charts_0011.json::1::charts_0011_002
0,,robustness,dataset/receipts/robust/receipts_0015_blur.jpg,"What is the total price shown on this receipt? If the image quality is degraded but the required receipt evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.",Visible receipt text and the CORD total.total_price field. Source question: What is the total price shown on this receipt?,"282,000","The total price shown on the receipt is 282,000.",Robustness variant: blur.,dataset/receipts/qa/receipts_0015.json::1::receipts_0015_002
1,,robustness,dataset/forms/robust/forms_0014_rotate_15.jpg,"What visible field names and field values can be read from this form? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible form text, labels, field names, and field values. Source question: What visible field names and field values can be read from this form?","{""words"": [""DIVISION:"", ""80%"", ""5%"", ""5%"", ""10%"", ""100%"", ""0"", ""0%"", ""8"", ""3%"", ""162"", ""53%"", ""76"", ""25%"", ""100%"", ""19%"", ""57"", ""303"", ""Liquor"", ""ANNUALS"", ""TOTAL"", ""%"", ""92081358"", ""URBAN"", ""CENTER"", ""INITIATIVE"", ""ASSIGNMENT"", ""PROFILE"", ""11/30/93"", ""17:07"", ""708"", ""369"", ""1422"", ""LORILLARD"", ""CHI"", ""002/003"", ""Chicago"", ""South"", ""LIST"", ""THE"", ""INFORMATION"", ""BELOW"", ""AS"", ""IT"", ""PERTAINS"", ""TO"", ""THE"", ""URBAN"", ""CENTER"", ""PORTION"", ""OF"", ""YOUR"", ""ASSIGNMENT"", ""ONLY:"", ""POPULATION"", ""COMPO...","Here are the visible field names and their corresponding values from the form:

1. **DIVISION:** Chicago South  
2. **POPULATION COMPOSITION:**
   - % BLACK = 80%  
   - % HISPANIC = 5%  
   - % WHITE = 10%  
   - % OTHER = 5%  
   - % TOTAL = 100%  
3. **# OF RETAIL CALLS:**
   - Classified: 247  
   - Annual: 37  
4. **APPROXIMATE % OF RETAIL CALLS SECURED BY CLASS:** 65% (136 calls)  
5. **RETAIL CALL FREQUENCY:**
   - 50/YR:",Robustness variant: rotate_15.,dataset/forms/qa/forms_0014.json::1::forms_0014_002
1,,robustness,dataset/charts/robust/charts_0004_rotate_15.jpg,"How many constant U.S. dollars did arms export from Sweden to Pakistan and the United Arab Emirates in 2020? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: How many constant U.S. dollars did arms export from Sweden to Pakistan and the United Arab Emirates in 2020?","[""80""]","The arms export value from Sweden to Pakistan was 63 million constant (1990) U.S. dollars, and to the United Arab Emirates was 80 million constant (1990) U.S. dollars.",Robustness variant: rotate_15.,dataset/charts/qa/charts_0004.json::1::charts_0004_002
1,,robustness,dataset/charts/robust/charts_0003_low_contrast.jpg,"What percentage of all oil consumed in the OECD is petrochemical? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible chart title, axes, labels, legend, and plotted values needed for the source ChartQA answer. Source question: What percentage of all oil consumed in the OECD is petrochemical?","[""13.63""]",13.63% of all oil consumed in the OECD is used for petrochemicals.,Robustness variant: low_contrast.,dataset/charts/qa/charts_0003.json::1::charts_0003_002
1,,robustness,dataset/documents/robust/documents_0007_crop.jpg,"On the big table shown, what is the mean QTE_EXPENSES_EVAL? If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: On the big table shown, what is the mean QTE_EXPENSES_EVAL?",Unknown,"The image does not contain a big table with data on QTE_EXPENSES_EVAL, so the mean cannot be determined.",Robustness variant: crop.,dataset/documents/qa/documents_0007.json::1::documents_0007_002
0,,robustness,dataset/documents/robust/documents_0009_rotate_15.jpg,"What is the distance between the left side and the LOGIC MODULE inscription? Provide the unit as well If the image quality is degraded but the evidence remains visible, answer consistently; if the evidence is no longer readable, say that it cannot be determined.","Visible document text, tables, figures, or OCR content needed for the selected DocVQA answer. Source question: What is the distance between the left side and the LOGIC MODULE inscription? Provide the unit as well",3.7 in,"The distance between the left side and the ""LOGIC MODULE"" inscription is 3.70 inches.",Robustness variant: rotate_15.,dataset/documents/qa/documents_0009.json::1::documents_0009_002
